category,confidence,reasoning,txn_id,description
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-6141,Spouse flight ticket - accompanied personal travel
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, license).",TXN-6142,Zoom Events add-on webinar license 1000 attendees - annual
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-6143,CloudFront CDN data transfer - video streaming Q2 spike
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-6144,Catering for Q1 product roadmap planning workshop - 120 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6145,Okta SSO enterprise annual - 500 user pack
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6146,Grammarly Business annual - writing assistant 30 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6147,DocuSign Enterprise annual - unlimited envelopes 100 senders
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-6148,Outstation cab DEL-NCR client visit - full day rental
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-6149,Outbound team building retreat Coorg - 2 days 50 staff
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (renewal).,CLM-06150,Health insurance group policy annual premium renewal
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6152,ClickUp Business annual - task management 100 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (subscription, creative cloud).",TXN-6153,Creative Cloud team subscription - invoice pending CFO approval
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",EXP-06155,Gym membership personal - Cult.fit annual plan
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-6156,Investor roadshow dinner - 6 guests fine dining
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6157,Coursera for Business annual - 50 seat upskilling program
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6159,Tax advisory - transfer pricing documentation annual
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-6161,Standing desk Flexispot E7 - 5 units health initiative
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6162,Cloud compute Q2 infra scaling - production cluster autoscaling
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-6163,BillDesk payment gateway annual maintenance fee
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6164,Google Ads campaign - Q3 brand performance spend
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6165,Google Ads campaign - Q3 brand performance spend
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6166,Okta SSO enterprise annual - 500 user pack
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-6167,Azure Cognitive Services - NLP API calls production tier
Travel & Transport,0.55,Description references travel or transport (ola).,TXN-6168,ITC Grand Chola Chennai - 4 nights client summit stay
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6169,Grammarly Business annual - writing assistant 30 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-6170,Azure Cognitive Services - NLP API calls production tier
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-6171,Refund - duplicate payment reversed by vendor Razorpay
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6174,
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6175,Salesforce Sales Cloud Enterprise annual - 50 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6176,Route53 DNS annual - 45 hosted zones enterprise account
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6177,Office pantry restocking monthly - beverages snacks 200 staff
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6179,ERP module annual maintenance - finance and procurement
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-6180,Investor roadshow dinner - 6 guests fine dining
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,TXN-6182,Notion Enterprise annual - knowledge management 150 seats
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-6183,Corporate cab account monthly - engineering late-night cabs May
Meals & Catering,0.84,"Description references food/catering context (lunch, tea).",TXN-6184,Team lunch - product sprint retrospective 15 pax
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-6185,Personal Airtel mobile recharge - home number
Hardware & Equipment,0.55,Description references physical hardware or equipment (monitor).,TXN-6186,Datadog APM annual commitment - 20 hosts infra monitoring
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-6187,Payment gateway monthly transaction processing fees - June cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6188,Taj Lands End Mumbai - 2 nights partner event accommodation
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6189,Datadog Log Management annual - 50GB per day retention
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6190,Four Seasons Mumbai - 2 nights suite investor presentation
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-6191,Investor roadshow dinner - 6 guests fine dining
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6192,Cloud compute Q4 spot instance burst - ML training workloads
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-6193,LinkedIn Learning team plan - 75 user annual
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-6195,Flight DEL-DXB for Dubai partner summit - 3 pax economy class
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6196,Town hall snacks and beverages - 200 employees all-hands
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-6197,LinkedIn Learning team plan - 75 user annual
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-6198,Lenovo ThinkPad X1 Carbon - PM team 4 units
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (zoom).,TXN-6199,Zoom Phone enterprise add-on - 200 DID numbers annual
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-6200,GCP Vertex AI training job - custom model Q2 batch
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6201,Taj Lands End Mumbai - 2 nights partner event accommodation
Travel & Transport,0.55,Description references travel or transport (cab).,CLM-06202,Outstation cab DEL-NCR client visit - full day rental
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-6203,Personal Swiggy order - home delivery non-business expense
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6204,GKE autopilot charges - containerised workloads monthly
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-6205,Adobe Sign e-signature pack - 200 contract credits annual plan
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-6206,Annual Slack Business+ renewal - 200 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6207,Pinecone vector DB enterprise annual - RAG production workload
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-6209,GCP Pub/Sub message delivery - event streaming pipeline
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-6210,Adobe Sign enterprise annual - 500 transaction pack
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-6211,CloudFront CDN data transfer - video streaming Q2 spike
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,PROC-06212,Office pantry restocking monthly - beverages snacks 200 staff
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-6213,Payment gateway monthly transaction processing fees - April cycle
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-6215,Bulk flight bookings Q2 team offsite Bengaluru - 25 tickets BLR-DEL
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-6216,GCP Pub/Sub message delivery - event streaming pipeline
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-6217,Salesforce Service Cloud annual - 80 agent seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-6220,PR agency retainer - media relations Q1
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-6221,Personal Airtel mobile recharge - home number
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-6222,Investor roadshow dinner - 6 guests fine dining
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (zoom).,TXN-6227,Zoom Phone enterprise add-on - 200 DID numbers annual
